Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
204,2014,7,238,Will Smith\SmitWi01,LB,22,DAL,2014,2014,0,0,0,0,0,,,,Texas Tech,College Stats
205,2014,7,242,Corey Nelson\NelsCo00,LB,22,DEN,2014,2019,0,0,0,7,61,8,,1.0,Oklahoma,College Stats
206,2014,7,253,Yawin Smallwood\SmalYa00,LB,22,ATL,2014,2014,0,0,0,0,0,,,,Connecticut,College Stats
207,2014,7,255,Tyler Starr\StarTy00,LB,23,ATL,2014,2015,0,0,0,0,1,0,,,South Dakota,
208,2013,1,6,Barkevious Mingo\MingBa00,LB,22,CLE,2013,2019,0,0,2,23,110,38,1,10.0,LSU,College Stats
209,2013,1,17,Jarvis Jones\JoneJa05,LB,23,PIT,2013,2016,0,0,1,18,50,35,2,6.0,Georgia,College Stats
210,2013,1,30,Alec Ogletree\OgleAl00,LB,21,STL,2013,2019,0,0,6,49,93,93,12,7.5,Georgia,College Stats
211,2013,2,38,Manti Te'o\TeoxMa00,LB,22,SDG,2013,2019,0,0,4,21,62,49,2,1.5,Notre Dame,College Stats
212,2013,2,45,Kevin Minter\MintKe00,LB,22,ARI,2013,2019,0,0,3,25,91,46,,6.0,LSU,College Stats
213,2013,2,46,Kiko Alonso\AlonKi00,LB,23,BUF,2013,2019,0,0,4,32,86,67,10,3.0,Oregon,College Stats
214,2013,2,50,Jonathan Bostic\BostJo00,LB,22,CHI,2013,2019,0,0,4,25,86,62,2,6.5,Florida,College Stats
215,2013,2,52,Jamie Collins\CollJa00,LB,23,NWE,2013,2019,0,1,6,55,96,86,10,24.5,Southern Miss,College Stats
216,2013,2,56,Arthur Brown\BrowAr00,LB,20,BAL,2013,2016,0,0,0,3,48,0,,0.5,Kansas St.,College Stats
217,2013,3,66,Sio Moore\MoorSi00,LB,23,OAK,2013,2016,0,0,2,15,47,29,,7.5,Connecticut,College Stats
218,2013,3,97,Zaviar Gooden\GoodZa00,LB,23,TEN,2013,2016,0,0,0,3,32,3,,,Missouri,College Stats
219,2013,4,99,Nico Johnson\JohnNi00,LB,23,KAN,2013,2015,0,0,0,3,18,3,,,Alabama,College Stats
220,2013,4,104,Jelani Jenkins\JenkJe00,LB,21,MIA,2013,2017,0,0,3,16,60,35,,3.5,Florida,College Stats
221,2013,4,117,Khaseem Greene\GreeKh00,LB,24,CHI,2013,2014,0,0,0,3,25,6,1,,Rutgers,College Stats
222,2013,4,118,Sean Porter\PortSe00,LB,22,CIN,2014,2016,0,0,0,0,3,0,,,Texas A&M,College Stats
223,2013,4,120,Gerald Hodges\HodgGe00,LB,22,MIN,2013,2018,0,0,1,18,81,32,3,3.5,Penn St.,College Stats
224,2013,5,148,A.J. Klein\KleiAJ00,LB,22,CAR,2013,2019,0,0,4,28,103,65,3,10.5,Iowa St.,College Stats
225,2013,6,180,Nick Moody\MoodNi00,LB,23,SFO,2013,2016,0,0,0,2,24,2,,,Florida St.,College Stats
226,2013,6,185,DeVonte Holloman\HollDe01,LB,22,DAL,2013,2014,0,0,0,1,9,2,,2.0,South Carolina,College Stats
227,2013,6,188,Cornelius Washington\WashCo00,LB,23,CHI,2013,2017,0,0,0,6,46,4,,5.5,Georgia,College Stats
