Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
17,Chase Cochran*\chase-cochran-1,Ohio,MAC,12,37,689,18.6,4,1,4,4.0,0,38,693,18.2,4
18,Josh Huff*\josh-huff-1,Oregon,Pac-12,13,62,1140,18.4,12,6,28,4.7,0,68,1168,17.2,12
19,Titus Davis\titus-davis-1,Central Michigan,MAC,11,61,1109,18.2,8,7,74,10.6,0,68,1183,17.4,8
20,Shaq Roland*\shaq-roland-1,South Carolina,SEC,9,25,455,18.2,5,0,0,,0,25,455,18.2,5
21,Robby Anderson\robby-anderson-1,Temple,American,10,44,791,18.0,9,2,-4,-2.0,0,46,787,17.1,9
22,L'Damian Washington*\ldamian-washington-1,Missouri,SEC,13,50,893,17.9,10,0,0,,0,50,893,17.9,10
23,Stacy Coley*\stacy-coley-1,Miami (FL),ACC,12,33,591,17.9,7,2,80,40.0,1,35,671,19.2,8
24,L.T. Smith\lt-smith-1,Akron,MAC,11,24,428,17.8,3,0,0,,0,24,428,17.8,3
25,Dennis Parks*\dennis-parks-1,Rice,CUSA,12,29,508,17.5,3,3,6,2.0,0,32,514,16.1,3
26,Damiere Byrd*\damiere-byrd-1,South Carolina,SEC,11,33,575,17.4,4,1,13,13.0,0,34,588,17.3,4
27,Kenny Shaw*\kenny-shaw-1,Florida State,ACC,14,54,933,17.3,6,0,0,,0,54,933,17.3,6
28,Bennie Fowler*\bennie-fowler-1,Michigan State,Big Ten,12,36,622,17.3,6,5,20,4.0,0,41,642,15.7,6
29,Stefon Diggs*\stefon-diggs-1,Maryland,ACC,7,34,587,17.3,3,7,45,6.4,0,41,632,15.4,3
30,Chandler Jones\chandler-jones-1,San Jose State,MWC,12,79,1356,17.2,15,5,12,2.4,0,84,1368,16.3,15
31,Tramaine Thompson*\tramaine-thompson-1,Kansas State,Big 12,11,32,551,17.2,5,2,17,8.5,0,34,568,16.7,5
32,Deangelo Yancey\deangelo-yancey-1,Purdue,Big Ten,8,32,546,17.1,2,0,0,,0,32,546,17.1,2
33,Leonte Carroo*\leonte-carroo-1,Rutgers,American,9,28,478,17.1,9,0,0,,0,28,478,17.1,9
34,Kivon Cartwright*\kivon-cartwright-1,Colorado State,MWC,13,27,462,17.1,6,4,18,4.5,0,31,480,15.5,6
35,Jonathan Krause*\jonathan-krause-1,Vanderbilt,SEC,11,42,714,17.0,3,1,11,11.0,0,43,725,16.9,3
36,Bryan Holmes\bryan-holmes-1,Troy,Sun Belt,12,40,676,16.9,7,0,0,,0,40,676,16.9,7
37,Markese Triplett\markese-triplett-1,Southern Mississippi,CUSA,10,33,558,16.9,4,0,0,,0,33,558,16.9,4
38,Nick O'Leary*\nick-oleary-1,Florida State,ACC,12,33,557,16.9,7,0,0,,0,33,557,16.9,7
39,Danny Woodson Jr.\danny-woodson-jr-1,South Alabama,Sun Belt,8,26,439,16.9,4,0,0,,0,26,439,16.9,4
40,Alex Neutz*\alex-neutz-1,Buffalo,MAC,13,61,1024,16.8,12,1,-1,-1.0,0,62,1023,16.5,12
41,Steve Hull\steve-hull-1,Illinois,Big Ten,9,59,993,16.8,7,1,-19,-19.0,0,60,974,16.2,7
42,Shaun Joplin*\shaun-joplin-1,Bowling Green State,MAC,14,54,908,16.8,3,0,0,,0,54,908,16.8,3
43,Ezell Ruffin*\ezell-ruffin-1,San Diego State,MWC,13,68,1136,16.7,3,8,4,0.5,0,76,1140,15.0,3
44,Devin Street*\devin-street-1,Pitt,ACC,10,51,854,16.7,7,3,6,2.0,0,54,860,15.9,7
45,Devon Smith*\devon-smith-1,Marshall,CUSA,13,39,653,16.7,4,1,7,7.0,0,40,660,16.5,4
46,Deandrew White*\deandrew-white-1,Alabama,SEC,13,32,534,16.7,4,0,0,,0,32,534,16.7,4
47,David Porter\david-porter-1,Texas Christian,Big 12,9,26,435,16.7,5,0,0,,0,26,435,16.7,5
48,Jake Murphy\jake-murphy-1,Utah,Pac-12,8,25,417,16.7,5,0,0,,0,25,417,16.7,5
49,Maxx Williams\maxx-williams-1,Minnesota,Big Ten,11,25,417,16.7,5,1,7,7.0,0,26,424,16.3,5
50,Albert Wilson\albert-wilson-1,Georgia State,Sun Belt,12,71,1177,16.6,8,24,251,10.5,1,95,1428,15.0,9
51,Chris Gant\chris-gant-1,Hawaii,MWC,12,59,973,16.5,9,5,14,2.8,1,64,987,15.4,10
52,Nelson Agholor*\nelson-agholor-1,USC,Pac-12,14,56,918,16.4,6,2,8,4.0,0,58,926,16.0,6
53,Gator Hoskins*\gator-hoskins-1,Marshall,CUSA,14,50,821,16.4,15,0,0,,0,50,821,16.4,15
54,Amari Cooper*\amari-cooper-1,Alabama,SEC,11,45,736,16.4,4,1,28,28.0,0,46,764,16.6,4
55,Travis Reynolds*\travis-reynolds-1,Utah State,MWC,11,51,832,16.3,4,1,-5,-5.0,0,52,827,15.9,4
56,Da'Ron Brown*\daron-brown-1,Northern Illinois,MAC,12,46,752,16.3,9,7,45,6.4,0,53,797,15.0,9
57,Paul Richardson\paul-richardson-1,Colorado,Pac-12,12,83,1343,16.2,10,1,7,7.0,0,84,1350,16.1,10
58,Robert Davis\robert-davis-10,Georgia State,Sun Belt,12,44,711,16.2,4,0,0,,0,44,711,16.2,4
59,Dom Williams*\dom-williams-1,Washington State,Pac-12,13,40,647,16.2,7,0,0,,0,40,647,16.2,7
60,Devante Parker*\devante-parker-1,Louisville,American,12,55,885,16.1,12,0,0,,0,55,885,16.1,12
61,Quron Pratt*\quron-pratt-1,Rutgers,American,12,32,516,16.1,0,1,-2,-2.0,0,33,514,15.6,0
62,Amba Etta*\amba-etta-1,Maryland,ACC,10,31,500,16.1,2,0,0,,0,31,500,16.1,2
63,Chandler Worthy\chandler-worthy-1,Troy,Sun Belt,9,25,403,16.1,2,8,44,5.5,1,33,447,13.5,3
64,Jamal Robinson*\jamal-robinson-3,Louisiana,Sun Belt,13,54,862,16.0,8,0,0,,0,54,862,16.0,8
65,Derel Walker*\derel-walker-1,Texas A&M,SEC,13,51,818,16.0,5,0,0,,0,51,818,16.0,5
66,Joshua Stanford*\joshua-stanford-1,Virginia Tech,ACC,13,40,640,16.0,1,0,0,,0,40,640,16.0,1
67,Alex Bayer*\alex-bayer-1,Bowling Green State,MAC,14,37,593,16.0,4,0,0,,0,37,593,16.0,4
68,Clay Fuller*\clay-fuller-1,Baylor,Big 12,12,32,512,16.0,3,0,0,,0,32,512,16.0,3
69,Derrick Engel\derrick-engel-1,Minnesota,Big Ten,9,25,401,16.0,5,2,12,6.0,0,27,413,15.3,5
70,Donte Moncrief*\donte-moncrief-1,Ole Miss,SEC,13,59,938,15.9,6,0,0,,0,59,938,15.9,6
71,Ryan Burbrink*\ryan-burbrink-1,Bowling Green State,MAC,13,30,477,15.9,2,0,0,,0,30,477,15.9,2
72,T.J. Jones*\tj-jones-2,Notre Dame,Ind,13,70,1108,15.8,9,9,67,7.4,2,79,1175,14.9,11
73,Bruce Ellington*\bruce-ellington-1,South Carolina,SEC,12,49,775,15.8,8,3,14,4.7,0,52,789,15.2,8
74,William Dukes\william-dukes-1,Florida Atlantic,CUSA,12,35,553,15.8,6,0,0,,0,35,553,15.8,6
75,Brandon Coleman*\brandon-coleman-2,Rutgers,American,12,34,538,15.8,4,0,0,,0,34,538,15.8,4
76,Billy Freeman\billy-freeman-2,San Jose State,MWC,12,27,427,15.8,2,0,0,,0,27,427,15.8,2
77,Eric Ebron*\eric-ebron-1,North Carolina,ACC,13,62,973,15.7,3,2,7,3.5,0,64,980,15.3,3
78,Ty Montgomery*\ty-montgomery-1,Stanford,Pac-12,14,61,958,15.7,10,13,159,12.2,2,74,1117,15.1,12
79,Cody Hoffman*\cody-hoffman-1,Brigham Young,Ind,11,57,894,15.7,5,0,0,,0,57,894,15.7,5
80,Kofi Hughes\kofi-hughes-1,Indiana,Big Ten,11,47,739,15.7,7,0,0,,0,47,739,15.7,7
81,Tyler Lockett*\tyler-lockett-1,Kansas State,Big 12,12,81,1262,15.6,11,2,10,5.0,0,83,1272,15.3,11
82,Levi Norwood*\levi-norwood-1,Baylor,Big 12,13,47,733,15.6,8,0,0,,0,47,733,15.6,8
83,Richard Rodgers\richard-rodgers-1,California,Pac-12,11,39,608,15.6,1,7,9,1.3,0,46,617,13.4,1
84,Troy Niklas*\troy-niklas-1,Notre Dame,Ind,13,32,498,15.6,5,0,0,,0,32,498,15.6,5
85,Jarvis Landry*\jarvis-landry-1,LSU,SEC,13,77,1193,15.5,10,0,0,,0,77,1193,15.5,10
86,Keenan Holman\keenan-holman-1,SMU,American,12,67,1037,15.5,9,0,0,,0,67,1037,15.5,9
87,Rannell Hall*\rannell-hall-1,UCF,American,13,57,886,15.5,5,14,121,8.6,1,71,1007,14.2,6
