,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
37,Antonio Gandy-Golden*\antonio-gandy-golden-1,Liberty,Ind,13,79,1396,17.7,10,0,0,,0,79,1396,17.7,10
38,Brant Kuithe*\brant-kuithe-1,Utah,Pac-12,14,34,602,17.7,6,6,102,17.0,3,40,704,17.6,9
39,Jacob Cowing\jacob-cowing-1,UTEP,CUSA,11,31,550,17.7,3,0,0,,0,31,550,17.7,3
40,Alec Pierce*\alec-pierce-2,Cincinnati,American,12,37,652,17.6,2,0,0,,0,37,652,17.6,2
41,Tyrone Scott*\tyrone-scott-1,Central Michigan,MAC,13,37,650,17.6,5,1,15,15.0,0,38,665,17.5,5
42,Victor Tucker*\victor-tucker-1,Charlotte,CUSA,12,52,909,17.5,7,3,18,6.0,1,55,927,16.9,8
43,Chris Olave*\chris-olave-1,Ohio State,Big Ten,13,48,840,17.5,12,2,5,2.5,0,50,845,16.9,12
44,Reginald Todd\reginald-todd-1,Troy,Sun Belt,12,38,666,17.5,5,0,0,,0,38,666,17.5,5
45,JoJo Ward*\jojo-ward-1,Hawaii,MWC,14,65,1134,17.4,11,0,0,,0,65,1134,17.4,11
46,Marquez Stevenson\marquez-stevenson-1,Houston,American,12,52,907,17.4,9,9,89,9.9,0,61,996,16.3,9
47,Tyquan Thornton*\tyquan-thornton-1,Baylor,Big 12,13,45,782,17.4,5,0,0,,0,45,782,17.4,5
48,Charleston Rambo*\charleston-rambo-1,Oklahoma,Big 12,14,43,743,17.3,5,2,15,7.5,0,45,758,16.8,5
49,Scotty Washington*\scotty-washington-1,Wake Forest,ACC,8,35,607,17.3,7,0,0,,0,35,607,17.3,7
50,Camden Harrison\camden-harrison-1,Army,Ind,10,25,433,17.3,3,0,0,,0,25,433,17.3,3
51,Gabriel Davis*\gabriel-davis-1,UCF,American,12,72,1241,17.2,12,0,0,,0,72,1241,17.2,12
52,Cedric Peterson\cedric-peterson-1,Arizona,Pac-12,12,24,412,17.2,2,0,0,,0,24,412,17.2,2
53,Danzel Mckinley-Lewis\danzel-mckinley-lewis-1,Toledo,MAC,12,36,615,17.1,1,0,0,,0,36,615,17.1,1
54,Tylan Wallace*\tylan-wallace-1,Oklahoma State,Big 12,9,53,903,17.0,8,1,0,0.0,0,54,903,16.7,8
55,Isiah Cox*\isiah-cox-1,Ohio,MAC,13,39,663,17.0,2,1,15,15.0,0,40,678,17.0,2
56,Jaylen Waddle*\jaylen-waddle-1,Alabama,SEC,13,33,560,17.0,6,1,5,5.0,0,34,565,16.6,6
57,Damon Hazelton Jr*\damon-hazelton-jr-1,Virginia Tech,ACC,9,31,527,17.0,8,1,3,3.0,0,32,530,16.6,8
58,Tre Nixon*\tre-nixon-2,UCF,American,12,49,830,16.9,7,0,0,,0,49,830,16.9,7
59,Damonte Coxie*\damonte-coxie-1,Memphis,American,14,76,1276,16.8,9,0,0,,0,76,1276,16.8,9
60,Keylon Stokes\keylon-stokes-1,Tulsa,American,12,62,1040,16.8,6,9,42,4.7,0,71,1082,15.2,6
61,C.J. Johnson\cj-johnson-6,East Carolina,American,11,54,908,16.8,4,0,0,,0,54,908,16.8,4
62,Kylen Granson*\kylen-granson-1,SMU,American,12,43,721,16.8,9,2,11,5.5,0,45,732,16.3,9
63,Steve Jenkins\steve-jenkins-3,UNLV,MWC,9,23,386,16.8,2,1,7,7.0,0,24,393,16.4,2
64,Isaiah Hamilton\isaiah-hamilton-2,San Jose State,MWC,11,43,718,16.7,4,7,32,4.6,0,50,750,15.0,4
65,Dashon Bussell*\dashon-bussell-1,Western Michigan,MAC,12,27,445,16.5,2,0,0,,0,27,445,16.5,2
66,Marcus Williams\marcus-williams-11,New Mexico,MWC,10,26,428,16.5,1,0,0,,0,26,428,16.5,1
67,Jauan Jennings*\jauan-jennings-1,Tennessee,SEC,13,59,969,16.4,8,13,51,3.9,1,72,1020,14.2,9
68,Ihmir Smith-Marsette*\ihmir-smith-marsette-1,Iowa,Big Ten,13,44,722,16.4,5,11,108,9.8,3,55,830,15.1,8
69,Tyrone Tracy Jr.*\tyrone-tracy-jr-1,Iowa,Big Ten,12,36,589,16.4,3,6,39,6.5,1,42,628,15.0,4
70,Kawaan Baker\kawaan-baker-1,South Alabama,Sun Belt,12,35,574,16.4,3,20,83,4.2,2,55,657,11.9,5
71,Binjimen Victor*\binjimen-victor-1,Ohio State,Big Ten,12,35,573,16.4,6,0,0,,0,35,573,16.4,6
72,Treylon Burks\treylon-burks-1,Arkansas,SEC,11,29,475,16.4,0,9,35,3.9,0,38,510,13.4,0
73,Myron Mitchell*\myron-mitchell-1,UAB,CUSA,13,34,554,16.3,4,1,4,4.0,0,35,558,15.9,4
74,Tre Turner*\tre-turner-2,Virginia Tech,ACC,11,34,553,16.3,4,24,231,9.6,1,58,784,13.5,5
75,Brennan Eagles*\brennan-eagles-1,Texas,Big 12,12,32,522,16.3,6,0,0,,0,32,522,16.3,6
76,Stephan Robinson\stephan-robinson-2,Kansas,Big 12,11,45,727,16.2,8,4,13,3.3,0,49,740,15.1,8
77,Malik Stanley*\malik-stanley-1,Louisiana Tech,CUSA,12,40,649,16.2,3,0,0,,0,40,649,16.2,3
78,Jamarye Joiner\jamarye-joiner-1,Arizona,Pac-12,12,34,552,16.2,5,0,0,,0,34,552,16.2,5
79,KJ Hamler*\kj-hamler-1,Penn State,Big Ten,13,56,904,16.1,8,13,43,3.3,0,69,947,13.7,8
80,Rashee Rice*\rashee-rice-1,SMU,American,8,25,403,16.1,1,1,0,0.0,0,26,403,15.5,1
81,Spencer Tears\spencer-tears-1,Northern Illinois,MAC,9,23,370,16.1,2,1,6,6.0,0,24,376,15.7,2
82,Hunter Bryant*\hunter-bryant-2,Washington,Pac-12,12,52,825,15.9,3,2,-4,-2.0,0,54,821,15.2,3
