Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
54,2017,5,178,Davon Godchaux\GodcDa00,DT,22,MIA,2017,2019,0,0,2,15,47,37,,3.0,LSU,College Stats
55,2017,6,185,Caleb Brantley\BranCa00,DT,23,CLE,2017,2019,0,0,0,2,20,1,,2.0,Florida,College Stats
56,2017,6,189,Tanzel Smart\SmarTa00,DT,22,LAR,2017,2019,0,0,0,4,31,4,,,Tulane,College Stats
57,2017,6,194,Vincent Taylor\TaylVi00,DT,23,MIA,2017,2019,0,0,0,3,24,0,,2.0,Oklahoma St.,College Stats
58,2017,6,198,D.J. Jones\JoneD.01,DT,22,SFO,2017,2019,0,0,1,8,30,15,,2.0,Mississippi,College Stats
59,2017,6,214,Elijah Qualls\QualEl00,DT,22,PHI,2017,2017,0,0,0,1,6,0,,,Washington,College Stats
60,2017,7,223,Stevie Tu'ikolovatu\TuikSt00,NT,26,TAM,,,0,0,0,,,,,,USC,College Stats
61,2017,7,225,Isaac Rochell\RochIs00,DT,22,LAC,2017,2019,0,0,0,5,35,3,1,7.0,Notre Dame,College Stats
62,2017,7,228,Joey Ivie\IvieJo00,DT,22,DAL,2019,2019,0,0,0,0,8,0,,,Florida,College Stats
63,2017,7,244,Treyvon Hester\HestTr00,DT,24,OAK,2017,2019,0,0,0,3,41,2,,2.0,Toledo,College Stats
64,2017,7,246,Jordan Carrell\CarrJo01,DT,23,DAL,,,0,0,0,,,,,,Colorado,College Stats
65,2016,1,12,Sheldon Rankins\RankSh00,DT,22,NOR,2016,2019,0,0,2,15,51,32,1,16.0,Louisville,College Stats
66,2016,1,27,Kenny Clark\ClarKe01,DT,20,GNB,2016,2019,0,1,3,28,60,46,,16.5,UCLA,College Stats
67,2016,1,29,Robert Nkemdiche\NkemRo00,DT,21,ARI,2016,2019,0,0,0,6,29,6,,4.5,Mississippi,College Stats
68,2016,1,30,Vernon Butler\ButlVe00,DT,22,CAR,2016,2019,0,0,1,7,52,9,,8.0,Louisiana Tech,College Stats
69,2016,2,37,Chris Jones\JoneCh09,DT,22,KAN,2016,2019,0,1,4,28,61,41,2,33.0,Mississippi St.,College Stats
70,2016,2,43,Austin Johnson\JohnAu01,NT,22,TEN,2016,2019,0,0,1,11,58,13,,2.5,Penn St.,College Stats
71,2016,2,46,A'Shawn Robinson\RobiAS00,DT,21,DET,2016,2019,0,0,2,20,58,37,1,5.0,Alabama,College Stats
72,2016,2,49,Jarran Reed\ReedJa02,DT,23,SEA,2016,2019,0,0,3,22,56,47,,15.5,Alabama,College Stats
73,2016,2,63,Adam Gotsis\GotsAd00,DT,23,DEN,2016,2019,0,0,2,16,57,28,,5.0,Georgia Tech,College Stats
74,2016,3,67,Maliek Collins\CollMa00,DT,21,DAL,2016,2019,0,0,4,25,61,55,,14.5,Nebraska,College Stats
75,2016,3,72,Jonathan Bullard\BullJo00,DT,22,CHI,2016,2019,0,0,1,8,55,11,,3.5,Florida,College Stats
76,2016,3,80,Adolphus Washington\WashAd00,DT,21,BUF,2016,2018,0,0,2,9,35,21,,4.5,Ohio St.,College Stats
77,2016,3,89,Javon Hargrave\HargJa00,DT,23,PIT,2016,2019,0,0,4,25,63,52,,14.5,South Carolina St.,
